,Birdx,Birdy,dis1,dis2,space_pressed
0,45.0,324.0,253.56853117056934,306.5566831762113,False
1,45.0,332.0,204.92193635626225,263.50142314606194,False
2,45.0,344.0,155.82361823549087,219.91134577370036,False
3,45.0,360.0,107.0,176.207264322445,False
4,45.0,380.0,62.297672508690084,133.71985641631537,False
5,45.0,404.0,45.35416188179427,96.62815324738438,False
6,45.0,432.0,80.95060222135473,77.41446893184762,False
7,45.0,434.0,112.69871339105873,107.61505470890214,True
8,45.0,438.0,132.41223508422476,123.664869708418,False
9,45.0,446.0,104.29285689825551,79.98124780221924,False
10,45.0,428.0,68.8839603971781,72.83543093852057,True
11,45.0,432.0,80.95060222135473,77.41446893184762,False
12,45.0,410.0,162.8649747490233,179.2344832893492,True
13,45.0,414.0,119.85407794480753,137.27709204379295,False
14,45.0,422.0,85.58621384311844,97.8008179924892,False
15,45.0,404.0,45.35416188179427,96.62815324738438,True
16,45.0,408.0,60.60528029800704,99.16148445843275,False
17,45.0,416.0,164.80594649465777,176.2980430974774,False
18,45.0,398.0,113.54734695271397,147.82760229402356,True
19,45.0,402.0,72.42237223399962,114.38968484964018,False
20,45.0,410.0,51.19570294468082,90.6697303403953,False
21,45.0,422.0,72.20110802473879,86.33075929238663,False
22,45.0,408.0,162.2621335986927,180.24705268048075,True
23,45.0,412.0,118.9663818059539,138.53880322855397,False
24,45.0,420.0,84.1486779456457,99.40321926376429,False
25,45.0,402.0,43.41658669218482,98.6154146165801,True
26,45.0,406.0,59.033888572581766,101.01980003939822,False
27,45.0,414.0,164.13713778423212,177.2596964907703,False
28,45.0,396.0,112.89375536317321,149.21461054467824,True
29,45.0,400.0,71.28113354878694,116.1077086157504,False
30,45.0,408.0,49.24428900898052,92.65527507918802,False
31,45.0,420.0,70.49113419430843,88.14193099768123,False
32,45.0,406.0,161.68178623456632,181.27603261324978,True
33,45.0,410.0,118.10588469674151,139.8177385026664,False
34,45.0,418.0,82.73451516749222,101.01980003939822,False
35,45.0,430.0,70.8590149522275,70.8590149522275,False
36,45.0,416.0,67.11929677819934,91.7877987534291,True
37,45.0,420.0,166.20770138594662,174.42763542512407,False
38,45.0,428.0,126.77933585565118,128.96898852049665,False
39,45.0,410.0,77.33692520394123,107.61505470890214,True
40,45.0,414.0,55.10898293381942,86.70063436907483,False
41,45.0,422.0,72.20110802473879,86.33075929238663,False
42,45.0,434.0,171.75855146105536,168.46661390317072,False
43,45.0,450.0,139.8177385026664,118.10588469674151,False
44,45.0,440.0,99.40321926376429,84.1486779456457,True
45,45.0,444.0,84.71717653463199,57.0701322935211,False
46,45.0,452.0,99.16148445843275,60.60528029800704,False
47,45.0,434.0,171.75855146105536,168.46661390317072,True
48,45.0,438.0,132.41223508422476,123.664869708418,False
49,45.0,416.0,81.34494452638098,102.6498904042279,True
50,45.0,420.0,61.0,80.75270893288967,False
51,45.0,398.0,53.03772242470448,108.50345616615168,True
52,45.0,402.0,160.58953888718904,183.38211472223784,False
53,45.0,410.0,118.10588469674151,139.8177385026664,False
54,45.0,422.0,85.58621384311844,97.8008179924892,False
55,45.0,438.0,78.77182237323191,62.96824596572466,False
56,45.0,428.0,77.41446893184762,80.95060222135473,True
57,45.0,432.0,170.90640713560157,169.26015479137433,False
58,45.0,440.0,133.60014970051492,122.67436570041843,False
59,45.0,422.0,85.58621384311844,97.8008179924892,True
60,45.0,426.0,66.91038783328041,74.81310045707235,False
61,45.0,404.0,57.48912940721924,102.88342918079665,True
62,45.0,408.0,162.2621335986927,180.24705268048075,False
63,45.0,416.0,120.7683733433551,136.03308421115798,False
64,45.0,428.0,90.02777349240623,93.08598175880189,False
65,45.0,414.0,55.10898293381942,86.70063436907483,True
66,45.0,418.0,68.79680225126747,89.96110270555825,False
67,45.0,426.0,168.46661390317072,171.75855146105536,False
68,45.0,408.0,117.27318534089538,141.1134295522577,True
69,45.0,412.0,78.64477096412705,105.94810050208545,False
70,45.0,420.0,61.0,80.75270893288967,False
71,45.0,432.0,80.95060222135473,77.41446893184762,False
72,45.0,418.0,165.4962235218677,175.35392781457733,True
73,45.0,422.0,123.664869708418,132.41223508422476,False
74,45.0,430.0,91.54780172128658,91.54780172128658,False
75,45.0,442.0,82.73451516749222,59.033888572581766,False
76,45.0,428.0,77.41446893184762,80.95060222135473,True
77,45.0,432.0,170.90640713560157,169.26015479137433,False
78,45.0,410.0,118.10588469674151,139.8177385026664,True
79,45.0,414.0,79.98124780221924,104.29285689825551,False
80,45.0,392.0,33.83784863137726,108.55873986004075,True
81,45.0,396.0,51.62363799656123,110.38568747804219,False
82,45.0,404.0,161.1241757155021,182.3211452355431,False
83,45.0,416.0,120.7683733433551,136.03308421115798,False
84,45.0,432.0,93.08598175880189,90.02777349240623,False
85,45.0,422.0,62.96824596572466,78.77182237323191,True
86,45.0,426.0,75.66372975210778,82.73451516749222,False
87,45.0,434.0,171.75855146105536,168.46661390317072,False
88,45.0,446.0,137.27709204379295,119.85407794480753,False
89,45.0,432.0,93.08598175880189,90.02777349240623,True
90,45.0,436.0,76.79192665899195,64.93843238021688,False
91,45.0,414.0,65.45991139621256,93.62157870918435,True
92,45.0,418.0,165.4962235218677,175.35392781457733,False
93,45.0,426.0,125.7179382586272,130.09611831257686,False
94,45.0,438.0,97.8008179924892,85.58621384311844,False
95,45.0,454.0,94.64142856064674,47.29693436154187,False
